Game,Team,GF,GA,xGF,xGA
" 2024-10-09 - Maple Leafs 0, Canadiens 1",Toronto Maple Leafs,0,1,6.09,2.97
" 2024-10-10 - Maple Leafs 4, Devils 2",Toronto Maple Leafs,4,2,2.11,2.62
" 2024-10-12 - Penguins 2, Maple Leafs 4",Toronto Maple Leafs,4,2,2.95,1.89
" 2024-10-16 - Kings 2, Maple Leafs 6",Toronto Maple Leafs,6,2,1.86,4.75
" 2024-10-19 - Rangers 4, Maple Leafs 1",Toronto Maple Leafs,1,4,3.98,5.07
" 2024-10-21 - Lightning 2, Maple Leafs 5",Toronto Maple Leafs,5,2,4.04,4.49
" 2024-10-22 - Maple Leafs 2, Blue Jackets 6",Toronto Maple Leafs,2,6,2.89,3.42
" 2024-10-24 - Blues 5, Maple Leafs 1",Toronto Maple Leafs,1,5,3.93,2.18
" 2024-10-26 - Maple Leafs 3, Bruins 4",Toronto Maple Leafs,3,4,3.02,3.59
" 2024-10-28 - Maple Leafs 6, Jets 4",Toronto Maple Leafs,6,4,4.01,1.92
" 2024-10-31 - Kraken 1, Maple Leafs 4",Toronto Maple Leafs,4,1,3.79,1.82
" 2024-11-02 - Maple Leafs 2, Blues 4",Toronto Maple Leafs,2,4,3.59,2.4
" 2024-11-03 - Maple Leafs 1, Wild 2",Toronto Maple Leafs,1,2,1.87,3.17
" 2024-11-05 - Bruins 0, Maple Leafs 4",Toronto Maple Leafs,4,0,2.53,2.54
" 2024-11-08 - Red Wings 1, Maple Leafs 3",Toronto Maple Leafs,3,1,2.63,1.83
" 2024-11-09 - Canadiens 1, Maple Leafs 4",Toronto Maple Leafs,4,1,2.04,2.03
" 2024-11-12 - Senators 3, Maple Leafs 0",Toronto Maple Leafs,0,3,3.16,3.71
" 2024-11-13 - Maple Leafs 4, Capitals 3",Toronto Maple Leafs,4,3,3.69,3.29
" 2024-11-16 - Oilers 3, Maple Leafs 4",Toronto Maple Leafs,4,3,2.3,2.33
" 2024-11-20 - Golden Knights 0, Maple Leafs 3",Toronto Maple Leafs,3,0,3.12,2.45
" 2024-11-24 - Utah HC 2, Maple Leafs 3",Toronto Maple Leafs,3,2,5.09,2.16
" 2024-11-27 - Maple Leafs 1, Panthers 5",Toronto Maple Leafs,1,5,1.87,2.61
" 2024-11-30 - Maple Leafs 5, Lightning 3",Toronto Maple Leafs,5,3,2.57,4.23
" 2024-12-02 - Blackhawks 1, Maple Leafs 4",Toronto Maple Leafs,4,1,2.41,3.21
" 2024-12-04 - Predators 2, Maple Leafs 3",Toronto Maple Leafs,3,2,2.5,3.2
" 2024-12-06 - Capitals 3, Maple Leafs 1",Toronto Maple Leafs,1,3,2.11,3.95
" 2024-12-07 - Maple Leafs 2, Penguins 5",Toronto Maple Leafs,2,5,3.23,3.37
" 2024-12-10 - Maple Leafs 2, Devils 1",Toronto Maple Leafs,2,1,2.52,4.59
" 2024-12-12 - Ducks 2, Maple Leafs 3",Toronto Maple Leafs,3,2,3.79,2.19
" 2024-12-14 - Maple Leafs 2, Red Wings 4",Toronto Maple Leafs,2,4,3.3,4.97
" 2024-12-15 - Sabres 3, Maple Leafs 5",Toronto Maple Leafs,5,3,5.55,2.3
" 2024-12-18 - Maple Leafs 5, Stars 3",Toronto Maple Leafs,5,3,2.17,3.28
" 2024-12-20 - Maple Leafs 6, Sabres 3",Toronto Maple Leafs,6,3,3.63,1.94
" 2024-12-21 - Islanders 6, Maple Leafs 3",Toronto Maple Leafs,3,6,2.24,3.33
" 2024-12-23 - Jets 5, Maple Leafs 2",Toronto Maple Leafs,2,5,2.44,4.1
" 2024-12-27 - Maple Leafs 5, Red Wings 2",Toronto Maple Leafs,5,2,2.49,3.46
" 2024-12-28 - Capitals 5, Maple Leafs 2",Toronto Maple Leafs,2,5,3.43,3.52
" 2024-12-31 - Islanders 1, Maple Leafs 3",Toronto Maple Leafs,3,1,3.04,2.94
" 2025-01-02 - Maple Leafs 2, Islanders 1",Toronto Maple Leafs,2,1,2.99,3.16
" 2025-01-04 - Bruins 4, Maple Leafs 6",Toronto Maple Leafs,6,4,3.7,2.55
" 2025-01-05 - Flyers 2, Maple Leafs 3",Toronto Maple Leafs,3,2,2.39,2.9
" 2025-01-07 - Maple Leafs 3, Flyers 2",Toronto Maple Leafs,3,2,2.8,3.75
" 2025-01-09 - Maple Leafs 3, Hurricanes 6",Toronto Maple Leafs,3,6,3.16,4.87
" 2025-01-11 - Canucks 3, Maple Leafs 0",Toronto Maple Leafs,0,3,1.82,1.57
" 2025-01-14 - Stars 4, Maple Leafs 1",Toronto Maple Leafs,1,4,2.32,2.44
" 2025-01-16 - Devils 3, Maple Leafs 4",Toronto Maple Leafs,4,3,2.39,2.73
" 2025-01-18 - Maple Leafs 7, Canadiens 3",Toronto Maple Leafs,7,3,3.63,3.73
" 2025-01-20 - Lightning 3, Maple Leafs 5",Toronto Maple Leafs,5,3,2.8,3.07
" 2025-01-22 - Blue Jackets 5, Maple Leafs 1",Toronto Maple Leafs,1,5,3.56,3.6
" 2025-01-25 - Maple Leafs 1, Senators 2",Toronto Maple Leafs,1,2,2.94,2.16
" 2025-01-29 - Wild 3, Maple Leafs 1",Toronto Maple Leafs,1,3,2.2,2.95
" 2025-02-01 - Maple Leafs 4, Oilers 3",Toronto Maple Leafs,4,3,2.76,5.07
" 2025-02-04 - Maple Leafs 6, Flames 3",Toronto Maple Leafs,6,3,5.1,2.71
" 2025-02-06 - Maple Leafs 3, Kraken 1",Toronto Maple Leafs,3,1,3.25,2.93
" 2025-02-08 - Maple Leafs 1, Canucks 2",Toronto Maple Leafs,1,2,2.1,5.46
" 2025-02-22 - Hurricanes 3, Maple Leafs 6",Toronto Maple Leafs,6,3,4.19,3.06
